"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Connessione riuscita
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Eliminato tabelle
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Eliminato tabella partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Eliminato tabella estrazioni
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Creato tabella partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Creato tabella estrazioni
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito partecipanti
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito estrazione
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito estrazione
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito estrazione
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito estrazione
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito estrazione
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito estrazione
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito estrazione
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito estrazione
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito estrazione
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito estrazione
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito estrazione
"[INFO ] 2023-11-28 14:12:09 [main] DBHandler - Inserito estrazione
